"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],","Northing[m], CH-1",".0m, CH-0.5m,","Quality,",S,"at,",HDO,"P, Time, Date",
705059.633,3621629.224,105.82,76.875,2,8,1.5,32:44.8,11/29/2018
705059.391,3621628.805,103.984,76.523,2,8,1.5,32:45.0,11/29/2018
705059.064,3621628.237,102.656,74.727,2,8,1.5,32:45.2,11/29/2018
705058.834,3621627.837,100.508,74.062,2,8,1.5,32:45.4,11/29/2018
705058.625,3621627.463,100.312,74.453,2,8,1.5,32:45.6,11/29/2018
705058.372,3621626.997,99.609,74.727,2,8,1.5,32:45.8,11/29/2018
705058.057,3621626.414,98.555,73.828,2,8,1.5,32:46.0,11/29/2018
705057.843,3621626.021,97.305,72.656,2,8,1.5,32:46.2,11/29/2018
705057.66,3621625.683,95.781,69.648,2,8,1.5,32:46.3,11/29/2018
705057.454,3621625.299,94.297,68.125,2,8,1.5,32:46.5,11/29/2018
705057.237,3621624.887,93.633,66.797,2,8,1.5,32:46.7,11/29/2018
705057.049,3621624.527,93.555,67.07,2,8,1.5,32:46.9,11/29/2018
705056.8,3621624.053,93.555,65.43,2,8,1.5,32:47.1,11/29/2018
705056.644,3621623.756,92.93,64.766,2,8,1.5,32:47.3,11/29/2018
705056.429,3621623.348,91.875,64.844,2,8,1.5,32:47.5,11/29/2018
705056.157,3621622.888,93.281,66.875,2,8,1.5,32:47.7,11/29/2018
705055.979,3621622.586,93.867,68.242,2,8,1.5,32:47.9,11/29/2018
705055.768,3621622.228,94.805,70.469,2,8,1.5,32:48.0,11/29/2018
705055.555,3621621.865,95.156,73.359,2,8,1.5,32:48.2,11/29/2018
705055.339,3621621.499,96.719,74.688,2,8,1.5,32:48.4,11/29/2018
705055.027,3621620.963,97.852,74.297,2,8,1.5,32:48.6,11/29/2018
705054.833,3621620.628,100.508,77.148,2,8,1.5,32:48.8,11/29/2018
705054.514,3621620.078,103.438,78.711,2,8,1.5,32:49.0,11/29/2018
705054.321,3621619.746,104.648,79.453,2,8,1.5,32:49.2,11/29/2018
705053.998,3621619.189,106.875,81.445,2,8,1.5,32:49.4,11/29/2018
