"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],","Northing[m], CH","-1.0m, CH-0.5m,","Quality,",S,"at,",HDO,"P, Time, Date",
704707.688,3620830.811,58.828,37.773,2,9,0.9,37:35.6,11/29/2018
704707.916,3620831.202,58.867,37.969,2,9,0.9,37:35.8,11/29/2018
704708.125,3620831.56,57.812,37.773,2,9,0.9,37:36.0,11/29/2018
704708.354,3620831.953,58.516,38.125,2,9,0.9,37:36.2,11/29/2018
704708.585,3620832.352,58.789,38.984,2,9,0.9,37:36.4,11/29/2018
704708.833,3620832.777,59.492,38.711,2,9,0.9,37:36.6,11/29/2018
704709.041,3620833.136,59.531,38.555,2,9,0.9,37:36.7,11/29/2018
704709.282,3620833.551,59.18,37.5,2,9,0.9,37:36.9,11/29/2018
704709.499,3620833.925,58.477,37.344,2,9,0.9,37:37.1,11/29/2018
704709.761,3620834.383,57.734,35.977,2,9,0.9,37:37.3,11/29/2018
704709.99,3620834.783,57.422,37.383,2,9,0.9,37:37.5,11/29/2018
704710.209,3620835.164,57.422,37.617,2,9,0.9,37:37.7,11/29/2018
704710.448,3620835.581,57.344,38.477,2,9,0.9,37:37.9,11/29/2018
704710.696,3620836.009,58.32,39.336,2,9,0.9,37:38.1,11/29/2018
704710.928,3620836.396,58.594,38.711,2,9,0.9,37:38.2,11/29/2018
704711.202,3620836.851,59.609,39.102,2,9,0.9,37:38.5,11/29/2018
704711.41,3620837.198,60.039,39.375,2,9,0.9,37:38.6,11/29/2018
704711.683,3620837.653,60.039,38.555,2,9,0.9,37:38.8,11/29/2018
704711.895,3620838.006,59.414,38.398,2,9,0.9,37:39.0,11/29/2018
704712.148,3620838.471,60.273,38.672,2,9,0.9,37:39.2,11/29/2018
704712.35,3620838.848,60.195,38.711,2,9,0.9,37:39.4,11/29/2018
704712.561,3620839.242,59.57,39.023,2,9,0.9,37:39.6,11/29/2018
704712.799,3620839.686,59.648,37.344,2,9,0.9,37:39.8,11/29/2018
704713.025,3620840.108,58.32,35.898,2,9,0.9,37:40.0,11/29/2018
704713.241,3620840.508,57.617,35.938,2,9,0.9,37:40.1,11/29/2018
704713.499,3620840.982,57.07,35.977,2,9,0.9,37:40.4,11/29/2018
704713.689,3620841.329,56.016,35.938,2,9,0.9,37:40.5,11/29/2018
704713.932,3620841.775,55.625,36.055,2,9,0.9,37:40.7,11/29/2018
704714.14,3620842.158,55.234,35.664,2,9,0.9,37:40.9,11/29/2018
704714.376,3620842.58,54.648,35.508,2,9,0.9,37:41.1,11/29/2018
704714.595,3620842.962,55.078,35.82,2,9,0.9,37:41.3,11/29/2018
704714.809,3620843.333,55.234,36.367,2,9,0.9,37:41.5,11/29/2018
704715.043,3620843.74,55.078,36.523,2,9,0.9,37:41.7,11/29/2018
704715.28,3620844.151,55.391,36.055,2,9,0.9,37:41.8,11/29/2018
704715.528,3620844.581,55.664,36.172,2,9,0.9,37:42.1,11/29/2018
704715.744,3620844.951,55.859,35.898,2,9,0.9,37:42.2,11/29/2018
704715.998,3620845.384,57.07,36.914,2,9,0.9,37:42.4,11/29/2018
704716.214,3620845.754,57.07,36.875,2,9,0.9,37:42.6,11/29/2018
704716.492,3620846.227,56.562,36.289,2,9,0.9,37:42.8,11/29/2018
704716.697,3620846.578,56.641,36.992,2,9,0.9,37:43.0,11/29/2018
704716.946,3620846.984,55.664,36.875,2,9,0.9,37:43.2,11/29/2018
704717.224,3620847.434,56.094,36.641,2,9,0.9,37:43.4,11/29/2018
704717.428,3620847.764,56.953,37.305,2,9,0.9,37:43.6,11/29/2018
704717.694,3620848.194,57.422,37.695,2,9,0.9,37:43.8,11/29/2018
704717.916,3620848.553,57.383,37.695,2,9,0.9,37:43.9,11/29/2018
704718.163,3620848.963,56.836,37.109,2,9,0.9,37:44.1,11/29/2018
704718.391,3620849.351,56.367,36.133,2,9,0.9,37:44.3,11/29/2018
704718.649,3620849.789,55.586,35.43,2,9,0.9,37:44.5,11/29/2018
704718.882,3620850.183,54.961,34.883,2,9,0.9,37:44.7,11/29/2018
704719.206,3620850.733,54.414,33.672,2,9,0.9,37:45.0,11/29/2018
704719.371,3620851.013,52.812,33.711,2,9,0.9,37:45.1,11/29/2018
704719.626,3620851.45,52.383,33.945,2,9,0.9,37:45.3,11/29/2018
704719.859,3620851.847,52.383,33.203,2,9,0.9,37:45.5,11/29/2018
704720.128,3620852.307,52.266,32.969,2,9,0.9,37:45.7,11/29/2018
704720.322,3620852.64,52.109,33.477,2,9,0.9,37:45.8,11/29/2018
704720.572,3620853.068,51.914,33.984,2,9,0.9,37:46.0,11/29/2018
704720.788,3620853.453,52.578,34.141,2,9,0.9,37:46.2,11/29/2018
704721.034,3620853.892,52.227,33.75,2,9,0.9,37:46.4,11/29/2018
704721.255,3620854.286,51.367,33.711,2,9,0.9,37:46.6,11/29/2018
704721.503,3620854.729,52.383,34.141,2,9,0.9,37:46.8,11/29/2018
704721.725,3620855.125,51.875,33.594,2,9,0.9,37:47.0,11/29/2018
704721.969,3620855.558,52.109,33.359,2,9,0.9,37:47.2,11/29/2018
704722.172,3620855.918,51.68,33.477,2,9,0.9,37:47.4,11/29/2018
704722.42,3620856.358,51.328,33.906,2,9,0.9,37:47.6,11/29/2018
704722.637,3620856.743,51.133,34.258,2,9,0.9,37:47.7,11/29/2018
704722.854,3620857.128,52.5,34.453,2,9,0.9,37:47.9,11/29/2018
704723.103,3620857.556,51.836,33.906,2,9,0.9,37:48.1,11/29/2018
704723.329,3620857.933,52.109,33.75,2,9,0.9,37:48.3,11/29/2018
704723.625,3620858.429,51.68,33.477,2,9,0.9,37:48.5,11/29/2018
704723.805,3620858.729,51.523,32.891,2,9,0.9,37:48.7,11/29/2018
704724.045,3620859.13,51.406,33.945,2,9,0.9,37:48.9,11/29/2018
704724.271,3620859.512,51.758,34.492,2,9,0.9,37:49.1,11/29/2018
704724.525,3620859.957,52.031,34.531,2,9,0.9,37:49.3,11/29/2018
704724.722,3620860.302,52.266,34.023,2,9,0.9,37:49.4,11/29/2018
704724.967,3620860.731,52.188,34.766,2,9,0.9,37:49.7,11/29/2018
704725.166,3620861.08,52.031,34.688,2,9,0.9,37:49.8,11/29/2018
704725.413,3620861.513,52.383,34.648,2,9,0.9,37:50.0,11/29/2018
704725.616,3620861.869,52.188,34.453,2,9,0.9,37:50.2,11/29/2018
704725.865,3620862.305,53.281,34.922,2,9,0.9,37:50.4,11/29/2018
704726.069,3620862.663,53.398,34.609,2,9,0.9,37:50.6,11/29/2018
704726.311,3620863.087,54.18,35.938,2,9,0.9,37:50.8,11/29/2018
704726.505,3620863.427,54.141,36.289,2,9,0.9,37:51.0,11/29/2018
704726.757,3620863.864,54.336,35.547,2,9,0.9,37:51.2,11/29/2018
704726.964,3620864.22,54.258,35.938,2,9,0.9,37:51.3,11/29/2018
704727.218,3620864.657,54.102,35.508,2,9,0.9,37:51.5,11/29/2018
704727.429,3620865.019,52.695,34.062,2,9,0.9,37:51.7,11/29/2018
704727.679,3620865.45,52.5,34.375,2,9,0.9,37:51.9,11/29/2018
704727.889,3620865.812,51.562,34.453,2,9,0.9,37:52.1,11/29/2018
704728.133,3620866.23,50.781,33.594,2,9,0.9,37:52.3,11/29/2018
704728.336,3620866.578,50.195,32.422,2,9,0.9,37:52.5,11/29/2018
704728.567,3620866.976,49.805,33.516,2,9,0.9,37:52.7,11/29/2018
704728.794,3620867.366,49.297,32.969,2,9,0.9,37:52.9,11/29/2018
704729.021,3620867.758,48.242,32.07,2,9,0.9,37:53.1,11/29/2018
704729.251,3620868.164,48.477,31.758,2,9,0.9,37:53.3,11/29/2018
704729.445,3620868.506,48.242,31.016,2,9,0.9,37:53.4,11/29/2018
704729.66,3620868.887,48.32,32.07,2,9,0.9,37:53.6,11/29/2018
704729.87,3620869.257,49.297,33.047,2,9,0.9,37:53.8,11/29/2018
704730.101,3620869.665,50.078,33.945,2,9,0.9,37:54.0,11/29/2018
704730.297,3620870.006,51.133,35.352,2,9,0.9,37:54.2,11/29/2018
704730.503,3620870.362,53.086,36.289,2,9,0.9,37:54.4,11/29/2018
704730.694,3620870.693,54.102,35.117,2,9,0.9,37:54.6,11/29/2018
704730.916,3620871.078,54.453,35.273,2,9,0.9,37:54.8,11/29/2018
704731.109,3620871.411,54.336,36.133,2,9,0.9,37:55.0,11/29/2018
704731.323,3620871.764,55.195,35.898,2,9,0.9,37:55.2,11/29/2018
704731.505,3620872.058,55.508,36.367,2,9,0.9,37:55.3,11/29/2018
704731.725,3620872.413,55.781,36.289,2,9,0.9,37:55.6,11/29/2018
704731.89,3620872.678,56.406,37.5,2,9,0.9,37:55.7,11/29/2018
704732.103,3620873.022,56.875,37.188,2,9,0.9,37:55.9,11/29/2018
704732.289,3620873.313,57.188,37.148,2,9,0.9,37:56.1,11/29/2018
704732.496,3620873.626,57.148,36.562,2,9,0.9,37:56.3,11/29/2018
704732.697,3620873.931,56.562,36.758,2,9,0.9,37:56.5,11/29/2018
704732.878,3620874.205,56.055,36.289,2,9,0.9,37:56.7,11/29/2018
704733.082,3620874.514,55.391,35.43,2,9,0.9,37:56.9,11/29/2018
704733.276,3620874.811,54.57,34.727,2,9,0.9,37:57.1,11/29/2018
704733.423,3620875.049,53.594,35.391,2,9,0.9,37:57.2,11/29/2018
704733.608,3620875.35,53.242,34.492,2,9,0.9,37:57.4,11/29/2018
